City,Population,ViolentCrime,Murder,Rape,Robbery,AggravatedAssault,PropertyCrime,Burglary,"Larceny-
theft","Motor
vehicle
theft",Arson3
Abington,"16,201",36,0,5,2,29,238,63,164,11,0
Acton,"23,770",24,1,3,0,20,169,23,141,5,0
Acushnet,"10,466",19,0,1,1,17,134,61,67,6,0
Adams,"8,131",24,0,4,1,19,116,29,84,3,1
Agawam,"28,844",81,0,10,7,64,489,173,284,32,2
Amherst,"40,063",87,1,20,4,62,240,66,163,11,2
Andover,"35,558",23,0,3,2,18,216,28,174,14,3
Arlington,"45,004",54,0,9,7,38,228,42,168,18,3
Ashburnham,"6,206",10,0,2,0,8,45,11,34,0,1
Ashland,"17,689",20,0,5,1,14,116,38,74,4,1
Athol,"11,612",49,0,2,1,46,211,46,158,7,3
Attleboro,"44,225",93,0,11,14,68,779,139,606,34,4
Auburn,"16,508",46,1,4,4,37,409,36,355,18,1
Avon,"4,505",8,0,1,0,7,183,23,154,6,
Ayer,"8,078",34,0,3,1,30,100,32,65,3,0
Barnstable,"43,974",199,1,16,15,167,711,133,558,20,2
Becket,"1,759",2,0,0,0,2,13,10,3,0,
Bedford,"14,280",6,0,0,2,4,49,4,45,0,0
Belchertown,"14,985",13,0,1,0,12,81,22,54,5,2
Bellingham,"16,922",34,0,6,2,26,321,26,278,17,1
Belmont,"25,637",14,0,5,0,9,177,58,114,5,0
Berkley,"6,678",7,0,0,0,7,33,13,15,5,0
Berlin,"3,038",0,0,0,0,0,14,0,14,0,0
Bernardston,"2,096",2,0,1,0,1,18,4,12,2,0
Beverly,"41,303",65,1,5,4,55,330,36,277,17,1
Billerica,"42,965",43,0,3,5,35,201,33,161,7,0
Blackstone,"9,079",12,0,1,1,10,66,13,47,6,0
Bolton,"5,210",6,0,1,0,5,45,9,36,0,2
Boston,"673,880","4,767",49,278,"1,530","2,910","14,489","1,837","11,429","1,223",
Bourne,"19,577",49,0,4,6,39,257,83,162,12,1
Boxborough,"5,223",7,0,0,0,7,21,3,15,3,0
Boxford,"8,271",0,0,0,0,0,15,1,14,0,0
Boylston,"4,551",6,0,0,0,6,21,14,7,0,0
Braintree,"37,673",90,0,5,6,79,664,48,569,47,0
